sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,
0,0,0,0,0,
1,1066,1888352,4443,7364,
2,1062,2413385,2805,6955,
3,1062,3060327,874,7099,
4,1062,3356478,299,5531,
5,1061,4246836,1,1223,
6,1062,3529456,118,3335,
7,1062,3537165,103,3244,
8,1061,3577348,53,4490,
9,1062,3792863,0,2987,
10,1061,3810648,0,2113,
11,1062,3230462,174,6132,
12,1063,2573777,13,6808,
13,1062,3217952,179,20404,
14,1062,2832654,650,4568,
15,1061,3648471,1,358,
16,1061,3715070,0,11,
17,1061,3710401,0,7,
18,1062,3653213,0,330,
19,1061,3729880,0,133,
20,1061,3718677,1,15,
21,1061,3723985,0,17,
22,1062,3114811,0,1255,
23,1061,3716390,0,30,
24,1061,3715041,0,9,
25,1061,3720595,0,3,
26,1062,3657056,0,348,
27,1061,3720115,0,12,
28,1061,3711537,0,1,
29,1061,3724691,0,1,
30,1061,3684314,0,201,
31,1063,3720207,0,3,
32,1061,3728152,0,2,
33,1061,3717223,0,96,
34,1061,3730398,0,2,
35,1061,3728945,0,5,
36,1061,3724194,0,3,
37,1061,3722858,0,42,
38,1062,3734090,0,4,
39,1061,3740233,0,3,
40,1061,3736392,0,1,
41,1061,3727699,0,55,
42,1061,3744562,0,3,
43,1061,3748704,0,4,
