sample,interval (usec),PAPI_TOT_INS,PAPI_L3_TCM,PAPI_L3_TCA,PAPI_BR_MSP,PAPI_TOT_CYC,PAPI_L2_TCM
54239,165,215042,2135,5138,1375,544164,5138
54240,164,229402,2194,5707,1115,544125,5707
54241,165,219935,2173,4881,1374,544527,4881
54242,164,235056,1955,5127,1265,529182,5127
54243,165,253226,1909,5315,1229,545247,5315
54244,164,235030,2077,5363,1344,544444,5363
54245,165,195288,2585,6229,1073,544722,6229
54246,164,219042,2278,5774,1177,543897,5774
54247,164,237829,2054,5451,1264,543878,5451
54248,164,275679,1755,4564,1179,544118,4564
54249,165,252645,1917,5568,1288,544585,5568
54250,164,199389,2269,5484,1288,545571,5484
54251,165,249075,1922,5787,1240,546370,5787
54252,165,258170,1767,5150,1480,545058,5150
54253,164,214240,2151,4930,1398,544934,4930
54254,165,223401,2210,5227,1228,544760,5227
54255,164,243873,1670,4636,1126,544052,4636
54256,164,217645,1607,4280,1015,544502,4280
54257,165,218127,2174,5054,1306,545006,5054
54258,164,230719,2161,5140,1253,544458,5140
54259,165,223088,2203,5713,1284,543872,5713
54260,165,257458,1985,4280,1382,545495,4280
54261,164,236230,2108,5346,1294,544723,5346
54262,164,232580,2074,5381,1243,544705,5381
54263,165,201261,2373,5980,1075,545457,5980
54264,164,226880,2038,4612,1557,544297,4612
54265,165,247673,2101,5020,1430,544872,5020
54266,165,242254,2185,5043,1187,544655,5043
54267,165,202714,1895,5011,1117,533322,5011
54268,165,233615,2152,5377,1306,545301,5377
54269,164,176358,1668,3795,1063,468315,3795
54270,164,212862,1932,4392,1257,544474,4392
54271,165,200575,2045,4614,1193,544922,4614
54272,164,227706,2084,5346,1285,544773,5346
54273,164,219996,1846,4455,1166,543722,4455
54274,165,237592,2251,5306,1154,545697,5306
54275,164,217895,2199,5149,1237,545169,5149
54276,165,202985,2295,5519,1259,544046,5519
54277,164,259827,1872,5204,1216,544478,5204
54278,165,198448,2304,5827,1210,544477,5827
54279,164,256342,1830,4965,1316,544331,4965
54280,165,211055,1984,4488,1246,546683,4488
54281,165,238607,1992,5273,1317,546155,5273
54282,164,229220,2157,5495,1179,545353,5495
54283,165,191827,2477,5598,1190,545725,5598
54284,164,240684,2051,5232,1311,545394,5232
54285,165,239454,2026,5348,1277,544793,5348
54286,164,191327,2101,4911,1087,544290,4911
54287,164,226518,1998,5204,1331,544395,5204
54288,165,264652,1845,4137,1343,545075,4137
54289,164,227250,1897,4850,1118,544537,4850
54290,165,221205,1820,5002,1192,544400,5002
54291,16120,23430046,211662,551082,129193,55784888,551082
54292,164,208136,1820,5570,1048,491179,5570
54293,163,215160,1721,6087,1038,504797,6087
54294,163,200401,1840,5507,1331,505405,5507
54295,163,196031,2000,5778,1130,505307,5778
54296,163,241355,1525,5339,1209,505564,5339
54297,162,193968,1965,5874,1187,505649,5874
54298,163,192407,1973,5614,1124,506278,5614
54299,163,215963,1744,4979,1251,505914,4979
54300,162,218741,1792,5168,1163,505299,5168
54301,163,193083,1982,5195,1225,506135,5195
54302,162,206412,1905,5682,1057,505854,5682
54303,163,176130,2251,5881,1013,505789,5881
54304,162,192642,1965,5959,1209,505709,5959
54305,163,178139,2199,5986,1040,505775,5986
54306,162,229012,1607,5087,1282,505853,5087
54307,163,214614,1946,5594,1027,506104,5594
54308,163,201768,1938,5543,1183,505719,5543
54309,162,202730,1812,5338,1256,506140,5338
54310,163,221302,1810,5338,1051,505818,5338
54311,162,189835,2026,6142,1094,506030,6142
54312,163,180332,2138,5677,1087,505906,5677
54313,162,207175,1854,5715,1169,505910,5715
54314,170,188172,2004,5914,1035,505854,5914
54315,163,293582,1193,4102,1308,505409,4102
54316,163,184866,1958,5773,1150,494876,5773
54317,163,203029,1913,5491,1224,505593,5491
54318,162,220201,1700,5398,1222,505869,5398
54319,163,191319,1979,5917,1125,505809,5917
54320,163,234799,1620,5576,1125,505833,5576
54321,162,197807,2046,5933,1052,505965,5933
54322,163,222547,1755,5794,1196,506151,5794
54323,162,191572,2077,5711,1083,506005,5711
54324,163,210539,1814,5681,1235,506025,5681
54325,163,215123,1786,5498,1216,506160,5498
54326,162,193919,2018,5155,1122,505966,5155
54327,163,232739,1703,5122,1162,506125,5122
54328,163,203423,1842,5452,1105,505691,5452
54329,162,186750,2057,5789,1094,506155,5789
54330,163,198435,1895,5470,1246,505852,5470
54331,163,211049,1871,5653,1240,506178,5653
54332,163,208822,1840,5249,1241,506106,5249
54333,162,175046,2241,6113,1016,505688,6113
54334,163,207271,1971,5812,1125,505893,5812
54335,162,201852,1888,5228,1236,506166,5228
54336,163,213202,1743,5527,1348,505972,5527
54337,163,214229,1752,5454,1262,506078,5454
54338,162,216601,1861,5793,1054,506181,5793
54339,163,222649,1734,5539,1168,506027,5539
54340,166,194546,1984,5822,1234,505627,5822
54341,162,234062,1704,5442,1108,505611,5442
54342,163,205995,1926,5634,1013,505780,5634
